month,product,n
2012-03,Bank account or service,1190
2012-04,Consumer Loan,173
2013-07,Mortgage,4353
2014-01,Mortgage,3600
2014-08,Credit card,1229
2015-12,Mortgage,3086
2016-06,Mortgage,3509
2016-10,Bank account or service,2187
2017-01,Bank account or service,1989
2017-01,Mortgage,3302
2017-03,Mortgage,3248
2017-08,Mortgage,2444
2017-10,Mortgage,2302
2017-11,Mortgage,2168
2017-12,Credit card or prepaid card,1838
2018-04,Mortgage,2725
2018-05,Mortgage,2219
2018-11,Checking or savings account,1717
2019-03,Mortgage,2002
2019-08,Mortgage,2035
2020-01,Mortgage,1835
2020-11,Mortgage,1821
2020-12,"Credit reporting, credit repair services, or other personal consumer reports",34600
2021-02,"Credit reporting, credit repair services, or other personal consumer reports",18374
2021-02,Debt collection,5282
2021-04,"Credit reporting, credit repair services, or other personal consumer reports",23375
2021-04,Debt collection,5738
2021-06,"Credit reporting, credit repair services, or other personal consumer reports",29668
2021-09,Checking or savings account,2365
2021-12,"Money transfer, virtual currency, or money service",933
2021-12,Mortgage,2008
2021-12,Vehicle loan or lease,578
2022-01,"Credit reporting, credit repair services, or other personal consumer reports",37130
2022-01,Mortgage,2213
2022-01,Vehicle loan or lease,698
2022-03,"Credit reporting, credit repair services, or other personal consumer reports",43573
2022-03,Mortgage,2506
2022-04,Checking or savings account,3236
2022-04,"Credit reporting, credit repair services, or other personal consumer reports",54426
2022-04,Debt collection,6007
2022-04,Mortgage,2274
2022-05,"Credit reporting, credit repair services, or other personal consumer reports",45965
2022-05,Debt collection,4567
2022-06,"Credit reporting, credit repair services, or other personal consumer reports",47275
2022-07,Credit card or prepaid card,3380
2022-07,Mortgage,1720
2022-08,"Credit reporting, credit repair services, or other personal consumer reports",51933
2022-09,"Credit reporting, credit repair services, or other personal consumer reports",49132
2022-09,Debt collection,4516
2022-10,Checking or savings account,3102
2022-10,"Credit reporting, credit repair services, or other personal consumer reports",59077
2022-11,"Credit reporting, credit repair services, or other personal consumer reports",61772
2022-11,Debt collection,4338
2023-01,Checking or savings account,6395
2023-01,"Credit reporting, credit repair services, or other personal consumer reports",70513
2023-01,Debt collection,5871
2023-02,"Credit reporting, credit repair services, or other personal consumer reports",67892
2023-03,Checking or savings account,1387
2023-03,Debt collection,2152
2023-04,"Credit reporting, credit repair services, or other personal consumer reports",1
2023-05,"Credit reporting, credit repair services, or other personal consumer reports",1
2023-06,Credit card or prepaid card,1
2023-07,"Credit reporting, credit repair services, or other personal consumer reports",7
2023-08,Checking or savings account,1
2023-08,Debt or credit management,1
2023-09,Prepaid card,1
2023-10,Credit reporting or other personal consumer reports,10
2023-10,Mortgage,1
2023-10,Vehicle loan or lease,1
2023-11,Credit reporting or other personal consumer reports,65688
2024-01,Credit reporting or other personal consumer reports,119513
2024-01,Vehicle loan or lease,1071
2024-02,Checking or savings account,3833
2024-02,Credit card,5182
2024-02,Credit reporting or other personal consumer reports,132992
2024-03,Checking or savings account,4257
2024-03,Credit reporting or other personal consumer reports,147637
2024-03,Mortgage,1893
2024-04,Credit reporting or other personal consumer reports,160450
2024-04,Mortgage,1817
2024-05,Checking or savings account,4540
2024-05,Credit card,6761
2024-05,Credit reporting or other personal consumer reports,181423
2024-05,Vehicle loan or lease,1050
2024-06,Checking or savings account,3887
2024-06,Credit reporting or other personal consumer reports,177586
2024-06,Mortgage,1576
2024-07,Credit reporting or other personal consumer reports,203567
2024-08,Checking or savings account,4682
2024-08,Credit reporting or other personal consumer reports,230748
2024-08,Mortgage,1861
2024-09,Credit reporting or other personal consumer reports,230926
2024-09,"Payday loan, title loan, personal loan, or advance loan",740
2024-10,Credit reporting or other personal consumer reports,259079
2024-10,Debt collection,17484
2024-10,Mortgage,1809
2024-11,Credit reporting or other personal consumer reports,253751
2024-11,"Money transfer, virtual currency, or money service",1417
2024-11,Mortgage,1719
2024-12,Credit reporting or other personal consumer reports,267923
2024-12,Mortgage,1784
2024-12,Student loan,1323
2025-01,Credit card,9073
2025-01,Credit reporting or other personal consumer reports,365868
2025-01,Debt collection,23830
2025-01,"Money transfer, virtual currency, or money service",49743
2025-01,"Payday loan, title loan, personal loan, or advance loan",1099
2025-01,Prepaid card,756
2025-01,Student loan,2232
2025-02,Checking or savings account,5453
2025-02,Credit reporting or other personal consumer reports,293836
2025-02,"Money transfer, virtual currency, or money service",6128
2025-02,Student loan,1868
2025-03,Checking or savings account,5070
2025-03,Credit reporting or other personal consumer reports,354018
2025-03,Debt collection,20370
2025-03,Mortgage,1824
2025-03,Vehicle loan or lease,1310
2025-04,Credit reporting or other personal consumer reports,364046
2025-04,Debt collection,20304
2025-04,Mortgage,1846
2025-04,Student loan,2159
2025-05,Checking or savings account,5394
2025-05,Credit card,7516
2025-05,Credit reporting or other personal consumer reports,370400
2025-05,Debt collection,21959
2025-05,Student loan,1904
2025-06,Checking or savings account,5560
2025-06,Credit reporting or other personal consumer reports,368108
2025-06,"Money transfer, virtual currency, or money service",2408
2025-06,Mortgage,1903
2025-06,Student loan,1410
2025-06,Vehicle loan or lease,1709
2025-07,Checking or savings account,6403
2025-07,Credit card,8106
2025-07,Credit reporting or other personal consumer reports,423155
2025-07,Debt collection,24874
2025-07,Debt or credit management,350
2025-07,Mortgage,2173
2025-07,"Payday loan, title loan, personal loan, or advance loan",1244
2025-07,Student loan,1564
2025-07,Vehicle loan or lease,1970
2025-08,Checking or savings account,6505
2025-08,Credit card,7920
2025-08,Credit reporting or other personal consumer reports,445613
2025-08,Debt collection,25627
2025-08,Mortgage,2048
2025-08,"Payday loan, title loan, personal loan, or advance loan",1134
2025-08,Prepaid card,558
2025-08,Student loan,1268
2025-09,Checking or savings account,6141
2025-09,Credit card,8505
2025-09,Credit reporting or other personal consumer reports,452652
2025-09,Debt collection,26819
2025-09,Mortgage,2022
2025-09,"Payday loan, title loan, personal loan, or advance loan",1242
2025-09,Student loan,1326
2025-10,Checking or savings account,6309
2025-10,Credit card,7414
2025-10,Credit reporting or other personal consumer reports,469207
2025-10,Debt collection,25550
2025-10,"Money transfer, virtual currency, or money service",4194
2025-10,Mortgage,2091
2025-10,"Payday loan, title loan, personal loan, or advance loan",1183
2025-10,Student loan,1315
2025-10,Vehicle loan or lease,1768
2025-11,Checking or savings account,6077
2025-11,Credit card,6864
2025-11,Credit reporting or other personal consumer reports,448103
2025-11,Debt collection,25716
2025-11,Debt or credit management,338
2025-11,"Money transfer, virtual currency, or money service",2604
2025-11,Mortgage,2218
2025-11,"Payday loan, title loan, personal loan, or advance loan",1198
2025-11,Student loan,1189
2025-11,Vehicle loan or lease,1907
2025-12,Checking or savings account,7706
2025-12,Credit card,7880
2025-12,Credit reporting or other personal consumer reports,455492
2025-12,Debt collection,29350
2025-12,Debt or credit management,356
2025-12,"Money transfer, virtual currency, or money service",3155
2025-12,Mortgage,2663
2025-12,"Payday loan, title loan, personal loan, or advance loan",1494
2025-12,Prepaid card,639
2025-12,Student loan,1665
2025-12,Vehicle loan or lease,2293
2026-01,Checking or savings account,7956
2026-01,Credit card,9560
2026-01,Credit reporting or other personal consumer reports,479197
2026-01,Debt collection,31351
2026-01,Debt or credit management,436
2026-01,"Money transfer, virtual currency, or money service",3493
2026-01,Mortgage,3032
2026-01,"Payday loan, title loan, personal loan, or advance loan",1714
2026-01,Prepaid card,657
2026-01,Student loan,2111
2026-01,Vehicle loan or lease,2559
2026-02,Checking or savings account,6861
2026-02,Credit card,7679
