month,ticker,company,credit_reporting,n
2021-02,TRU,TRANSUNION,True,5128
2022-04,TRU,TRANSUNION,True,16551
2022-05,TRU,TRANSUNION,True,13743
2022-06,TRU,TRANSUNION,True,14335
2022-08,TRU,TRANSUNION,True,15691
2022-09,TRU,TRANSUNION,True,14871
2023-02,TRU,TRANSUNION,True,21313
2023-04,TRU,TRANSUNION,True,1
2023-10,TRU,TRANSUNION,True,4
2023-11,TRU,TRANSUNION,True,20817
2024-01,TRU,TRANSUNION,True,38425
2024-02,TRU,TRANSUNION,True,42504
2024-03,TRU,TRANSUNION,True,46779
2024-04,TRU,TRANSUNION,True,51032
2024-05,TRU,TRANSUNION,True,57841
2024-06,TRU,TRANSUNION,True,57829
2024-07,TRU,TRANSUNION,True,65777
2024-08,TRU,TRANSUNION,True,74530
2024-09,TRU,TRANSUNION,True,75782
2024-10,TRU,TRANSUNION,True,84827
2024-11,TRU,TRANSUNION,True,83945
2024-12,TRU,TRANSUNION,True,86872
2025-01,TRU,TRANSUNION,True,113519
2025-02,TRU,TRANSUNION,True,96315
2025-03,TRU,TRANSUNION,True,119299
2025-04,TRU,TRANSUNION,True,123776
2025-05,TRU,TRANSUNION,True,114817
2025-06,TRU,TRANSUNION,True,113593
2025-07,TRU,TRANSUNION,False,2806
2025-07,TRU,TRANSUNION,True,129991
2025-08,TRU,TRANSUNION,False,3830
2025-08,TRU,TRANSUNION,True,151319
2025-09,TRU,TRANSUNION,False,3830
2025-09,TRU,TRANSUNION,True,152965
2025-10,TRU,TRANSUNION,True,156955
2025-11,TRU,TRANSUNION,True,147938
2025-12,TRU,TRANSUNION,True,149659
2026-01,TRU,TRANSUNION,False,1728
2026-01,TRU,TRANSUNION,True,162013
2026-02,TRU,TRANSUNION,False,1197
2026-02,TRU,TRANSUNION,True,158854
2026-03,TRU,TRANSUNION,False,1168
2026-03,TRU,TRANSUNION,True,195043
2026-04,TRU,TRANSUNION,False,989
2026-04,TRU,TRANSUNION,True,205048
2026-05,TRU,TRANSUNION,False,1004
2026-05,TRU,TRANSUNION,True,221577
2026-06,TRU,TRANSUNION,False,1011
2026-06,TRU,TRANSUNION,True,248283
2026-07,TRU,TRANSUNION,False,545
2026-07,TRU,TRANSUNION,True,158160
2022-01,EFX,EQUIFAX,True,11870
2022-04,EFX,EQUIFAX,True,16573
2022-05,EFX,EQUIFAX,True,13605
2022-06,EFX,EQUIFAX,True,14201
2022-10,EFX,EQUIFAX,True,17798
2023-10,EFX,EQUIFAX,True,1
2023-11,EFX,EQUIFAX,True,20464
2024-01,EFX,EQUIFAX,True,37320
2024-02,EFX,EQUIFAX,True,41806
2024-03,EFX,EQUIFAX,True,46088
2024-04,EFX,EQUIFAX,True,50126
2024-05,EFX,EQUIFAX,True,56954
2024-06,EFX,EQUIFAX,True,55926
2024-07,EFX,EQUIFAX,True,63314
2024-08,EFX,EQUIFAX,True,71230
2024-09,EFX,EQUIFAX,True,70237
2024-10,EFX,EQUIFAX,True,78084
2024-11,EFX,EQUIFAX,True,77287
2024-12,EFX,EQUIFAX,True,81819
2025-01,EFX,EQUIFAX,True,112676
2025-02,EFX,EQUIFAX,True,93928
2025-03,EFX,EQUIFAX,True,116668
2025-04,EFX,EQUIFAX,True,120625
2025-05,EFX,EQUIFAX,True,128301
2025-06,EFX,EQUIFAX,True,130940
2025-07,EFX,EQUIFAX,False,3793
2025-07,EFX,EQUIFAX,True,151102
2025-08,EFX,EQUIFAX,False,4129
2025-08,EFX,EQUIFAX,True,154745
2025-09,EFX,EQUIFAX,True,157410
2025-10,EFX,EQUIFAX,True,164883
2025-11,EFX,EQUIFAX,True,156077
2025-12,EFX,EQUIFAX,True,157622
2026-01,EFX,EQUIFAX,False,1658
2026-01,EFX,EQUIFAX,True,151310
2026-02,EFX,EQUIFAX,False,943
2026-02,EFX,EQUIFAX,True,140100
2026-03,EFX,EQUIFAX,False,984
2026-03,EFX,EQUIFAX,True,169379
2026-04,EFX,EQUIFAX,False,741
2026-04,EFX,EQUIFAX,True,166539
2026-05,EFX,EQUIFAX,False,704
2026-05,EFX,EQUIFAX,True,172067
2026-06,EFX,EQUIFAX,False,803
2026-06,EFX,EQUIFAX,True,194005
2026-07,EFX,EQUIFAX,False,501
2026-07,EFX,EQUIFAX,True,149110
2022-03,EXPGY,Experian,True,12428
2022-04,EXPGY,Experian,True,15939
2022-05,EXPGY,Experian,True,13417
2022-08,EXPGY,Experian,True,14888
2022-10,EXPGY,Experian,True,17182
2022-11,EXPGY,Experian,True,18648
2023-02,EXPGY,Experian,True,19931
2023-05,EXPGY,Experian,True,1
2023-10,EXPGY,Experian,True,5
2023-11,EXPGY,Experian,True,19166
2024-01,EXPGY,Experian,True,34818
2024-02,EXPGY,Experian,True,39557
2024-03,EXPGY,Experian,True,44922
2024-04,EXPGY,Experian,True,48911
2024-05,EXPGY,Experian,True,55999
2024-06,EXPGY,Experian,True,53606
2024-07,EXPGY,Experian,True,63097
2024-08,EXPGY,Experian,True,72340
2024-09,EXPGY,Experian,True,71656
2024-10,EXPGY,Experian,True,82033
2024-11,EXPGY,Experian,True,79374
2024-12,EXPGY,Experian,True,85244
2025-01,EXPGY,Experian,True,116866
2025-02,EXPGY,Experian,True,85227
2025-03,EXPGY,Experian,True,98680
2025-04,EXPGY,Experian,True,102012
2025-05,EXPGY,Experian,True,109244
2025-06,EXPGY,Experian,True,105350
2025-07,EXPGY,Experian,False,2453
2025-07,EXPGY,Experian,True,120929
2025-08,EXPGY,Experian,False,2839
2025-08,EXPGY,Experian,True,120700
2025-09,EXPGY,Experian,True,123246
2025-10,EXPGY,Experian,False,1859
2025-10,EXPGY,Experian,True,128414
2025-11,EXPGY,Experian,True,124348
2025-12,EXPGY,Experian,False,1467
2025-12,EXPGY,Experian,True,126881
2026-01,EXPGY,Experian,False,1616
2026-01,EXPGY,Experian,True,140699
2026-02,EXPGY,Experian,False,1086
2026-02,EXPGY,Experian,True,140877
2026-03,EXPGY,Experian,False,1209
2026-03,EXPGY,Experian,True,165610
2026-04,EXPGY,Experian,False,912
2026-04,EXPGY,Experian,True,169895
2026-05,EXPGY,Experian,False,990
2026-05,EXPGY,Experian,True,180584
2026-06,EXPGY,Experian,False,1014
2026-06,EXPGY,Experian,True,225374
2026-07,EXPGY,Experian,False,593
2026-07,EXPGY,Experian,True,160543
2022-04,COF,CAPITAL ONE,True,461
2023-07,COF,CAPITAL ONE,True,1
2025-06,COF,CAPITAL ONE,False,1475
2025-11,COF,CAPITAL ONE,False,1576
2026-01,COF,CAPITAL ONE,False,2013
